,AAPL,AMZN,NFLX,META,GOOG,,
Mean,0.044857944,0.010361979,-0.029674829,-0.006934285,0.029035134,,Average daily return
St Dev,0.009320453,0.009556763,0.01340882,0.011581856,0.00837577,,Standard deviation of daily returns
Skew,-0.33517305,-0.312865226,-3.101653581,-1.936505944,-0.197699834,,Skewness of daily returns
Kurt,5.034092588,4.729806047,41.96801484,23.28923563,4.310171108,,Kurtosis of daily returns
,,,,,,,
,AAPL,AMZN,NFLX,META,GOOG,,
AAPL,1,0.660738586,0.460041141,0.594784944,0.698431255,,Correlation Matrix of daily returns
AMZN,0.660738586,1,0.593812086,0.626197627,0.679322691,,
NFLX,0.460041141,0.593812086,1,0.515892088,0.492697083,,
META,0.594784944,0.626197627,0.515892088,1,0.668023785,,
GOOG,0.698431255,0.679322691,0.492697083,0.668023785,1,,